3;14;1361.25;36.3828
84;14;15.9349;14.4141
114;16;247.127;33.3063
116;16;138.028;29.9185
117;16;558.512;51.9768
132;12;27.4534;1.15026
133;14;3.78322;0.412873
136;12;0.313802;0.196584
148;16;1220.66;34.002
150;12;465.779;44.9193
160;12;380.267;25.4679
192;12;599.784;22.9608
196;16;701.907;41.2518
202;14;0.484034;0.105665
252;16;1862.27;22.6429
268;16;53.3519;15.1493
342;16;649.059;41.2525
343;12;69.5237;0.145131
348;12;237.528;31.1989
357;12;1024.59;25.611
358;14;149.581;10.1527
389;14;57.9662;24.8993
399;16;513.11;34.4565
413;12;0.541928;0.521315
414;12;360.03;37.5541
416;14;22.6922;0.22205
439;16;71.3536;28.2312
473;12;518.044;46.1259
476;16;1129.88;50.5501
521;16;18.0366;7.02304
553;16;151.077;42.629
555;12;10.2174;0.0543219
572;16;5.68249;0.233808
597;14;0.0375258;0.0168234
607;16;56.8932;37.736
635;12;367.934;35.4212
744;14;3773.48;19.6447
751;14;23.3215;22.7692
776;14;135.794;0.478571
783;12;145.33;37.9864
